Event,Color,Style,Image_Path,Type
Birthday,Black,Bold and Bright,Birthday\Black\Bold and Bright\8c4cc807d58f4058337159beba695fdc.jpg,Dress
Birthday,Black,Bold and Bright,Birthday\Black\Bold and Bright\Accessories\512YVgx8ZCL._AC_UY1100_.jpg,Accessory
Birthday,Black,Bold and Bright,Birthday\Black\Bold and Bright\Accessories\71pb4i1n8dL._AC_UY300_.jpg,Accessory
Birthday,Black,Bold and Bright,"Birthday\Black\Bold and Bright\Accessories\71VxqfdC-qL._AC_UF1000,1000_QL80_.jpg",Accessory
Birthday,Black,Bold and Bright,Birthday\Black\Bold and Bright\Accessories\images.jpg,Accessory
Birthday,Black,Casual Comfort,Birthday\Black\Casual Comfort\8c4cc807d58f4058337159beba695fdc.jpg,Dress
Birthday,Black,Casual Comfort,Birthday\Black\Casual Comfort\Accessories\512YVgx8ZCL._AC_UY1100_.jpg,Accessory
Birthday,Black,Casual Comfort,Birthday\Black\Casual Comfort\Accessories\71pb4i1n8dL._AC_UY300_.jpg,Accessory
Birthday,Black,Casual Comfort,"Birthday\Black\Casual Comfort\Accessories\71VxqfdC-qL._AC_UF1000,1000_QL80_.jpg",Accessory
Birthday,Black,Casual Comfort,Birthday\Black\Casual Comfort\Accessories\images.jpg,Accessory
Birthday,Black,Eco-Friendly Fashionista,Birthday\Black\Eco-Friendly Fashionista\8c4cc807d58f4058337159beba695fdc.jpg,Dress
Birthday,Black,Eco-Friendly Fashionista,Birthday\Black\Eco-Friendly Fashionista\Accessories\512YVgx8ZCL._AC_UY1100_.jpg,Accessory
Birthday,Black,Eco-Friendly Fashionista,Birthday\Black\Eco-Friendly Fashionista\Accessories\71pb4i1n8dL._AC_UY300_.jpg,Accessory
Birthday,Black,Eco-Friendly Fashionista,"Birthday\Black\Eco-Friendly Fashionista\Accessories\71VxqfdC-qL._AC_UF1000,1000_QL80_.jpg",Accessory
Birthday,Black,Eco-Friendly Fashionista,Birthday\Black\Eco-Friendly Fashionista\Accessories\images.jpg,Accessory
Birthday,Black,Minimalist Maven,Birthday\Black\Minimalist Maven\8c4cc807d58f4058337159beba695fdc.jpg,Dress
Birthday,Black,Minimalist Maven,Birthday\Black\Minimalist Maven\Accessories\512YVgx8ZCL._AC_UY1100_.jpg,Accessory
Birthday,Black,Minimalist Maven,Birthday\Black\Minimalist Maven\Accessories\71pb4i1n8dL._AC_UY300_.jpg,Accessory
Birthday,Black,Minimalist Maven,"Birthday\Black\Minimalist Maven\Accessories\71VxqfdC-qL._AC_UF1000,1000_QL80_.jpg",Accessory
Birthday,Black,Minimalist Maven,Birthday\Black\Minimalist Maven\Accessories\images.jpg,Accessory
Birthday,Black,Retro Futurism,Birthday\Black\Retro Futurism\8c4cc807d58f4058337159beba695fdc.jpg,Dress
Birthday,Black,Retro Futurism,Birthday\Black\Retro Futurism\Accessories\512YVgx8ZCL._AC_UY1100_.jpg,Accessory
Birthday,Black,Retro Futurism,Birthday\Black\Retro Futurism\Accessories\71pb4i1n8dL._AC_UY300_.jpg,Accessory
Birthday,Black,Retro Futurism,"Birthday\Black\Retro Futurism\Accessories\71VxqfdC-qL._AC_UF1000,1000_QL80_.jpg",Accessory
Birthday,Black,Retro Futurism,Birthday\Black\Retro Futurism\Accessories\images.jpg,Accessory
Birthday,Black,Streetwear,Birthday\Black\Streetwear\8c4cc807d58f4058337159beba695fdc.jpg,Dress
Birthday,Black,Streetwear,Birthday\Black\Streetwear\Accessories\512YVgx8ZCL._AC_UY1100_.jpg,Accessory
Birthday,Black,Streetwear,Birthday\Black\Streetwear\Accessories\71pb4i1n8dL._AC_UY300_.jpg,Accessory
Birthday,Black,Streetwear,"Birthday\Black\Streetwear\Accessories\71VxqfdC-qL._AC_UF1000,1000_QL80_.jpg",Accessory
Birthday,Black,Streetwear,Birthday\Black\Streetwear\Accessories\images.jpg,Accessory
Birthday,Black,Vintage Vibes,Birthday\Black\Vintage Vibes\8c4cc807d58f4058337159beba695fdc.jpg,Dress
Birthday,Black,Vintage Vibes,Birthday\Black\Vintage Vibes\Accessories\512YVgx8ZCL._AC_UY1100_.jpg,Accessory
Birthday,Black,Vintage Vibes,Birthday\Black\Vintage Vibes\Accessories\71pb4i1n8dL._AC_UY300_.jpg,Accessory
Birthday,Black,Vintage Vibes,"Birthday\Black\Vintage Vibes\Accessories\71VxqfdC-qL._AC_UF1000,1000_QL80_.jpg",Accessory
Birthday,Black,Vintage Vibes,Birthday\Black\Vintage Vibes\Accessories\images.jpg,Accessory
Birthday,Blue,Bold and Bright,Birthday\Blue\Bold and Bright\Accessories\61+LanG8oRL._AC_UY1100_.jpg,Accessory
Birthday,Blue,Bold and Bright,Birthday\Blue\Bold and Bright\Accessories\61Us78ljbvL.jpg,Accessory
Birthday,Blue,Bold and Bright,Birthday\Blue\Bold and Bright\Accessories\a29f5c111b4018cfe509c3d5e7a5fc56.jpg,Accessory
Birthday,Blue,Casual Comfort,Birthday\Blue\Casual Comfort\Accessories\61+LanG8oRL._AC_UY1100_.jpg,Accessory
Birthday,Blue,Casual Comfort,Birthday\Blue\Casual Comfort\Accessories\61Us78ljbvL.jpg,Accessory
Birthday,Blue,Casual Comfort,Birthday\Blue\Casual Comfort\Accessories\a29f5c111b4018cfe509c3d5e7a5fc56.jpg,Accessory
Birthday,Blue,Eco-Friendly Fashionista,Birthday\Blue\Eco-Friendly Fashionista\Accessories\61+LanG8oRL._AC_UY1100_.jpg,Accessory
Birthday,Blue,Eco-Friendly Fashionista,Birthday\Blue\Eco-Friendly Fashionista\Accessories\61Us78ljbvL.jpg,Accessory
Birthday,Blue,Eco-Friendly Fashionista,Birthday\Blue\Eco-Friendly Fashionista\Accessories\a29f5c111b4018cfe509c3d5e7a5fc56.jpg,Accessory
Birthday,Blue,Minimalist Maven,Birthday\Blue\Minimalist Maven\Accessories\61+LanG8oRL._AC_UY1100_.jpg,Accessory
Birthday,Blue,Minimalist Maven,Birthday\Blue\Minimalist Maven\Accessories\61Us78ljbvL.jpg,Accessory
Birthday,Blue,Minimalist Maven,Birthday\Blue\Minimalist Maven\Accessories\a29f5c111b4018cfe509c3d5e7a5fc56.jpg,Accessory
Birthday,Blue,Retro Futurism,Birthday\Blue\Retro Futurism\Accessories\61+LanG8oRL._AC_UY1100_.jpg,Accessory
Birthday,Blue,Retro Futurism,Birthday\Blue\Retro Futurism\Accessories\61Us78ljbvL.jpg,Accessory
Birthday,Blue,Retro Futurism,Birthday\Blue\Retro Futurism\Accessories\a29f5c111b4018cfe509c3d5e7a5fc56.jpg,Accessory
Birthday,Blue,Streetwear,Birthday\Blue\Streetwear\Accessories\61+LanG8oRL._AC_UY1100_.jpg,Accessory
Birthday,Blue,Streetwear,Birthday\Blue\Streetwear\Accessories\61Us78ljbvL.jpg,Accessory
Birthday,Blue,Streetwear,Birthday\Blue\Streetwear\Accessories\a29f5c111b4018cfe509c3d5e7a5fc56.jpg,Accessory
Birthday,Blue,Vintage Vibes,Birthday\Blue\Vintage Vibes\Accessories\61+LanG8oRL._AC_UY1100_.jpg,Accessory
Birthday,Blue,Vintage Vibes,Birthday\Blue\Vintage Vibes\Accessories\61Us78ljbvL.jpg,Accessory
Birthday,Blue,Vintage Vibes,Birthday\Blue\Vintage Vibes\Accessories\a29f5c111b4018cfe509c3d5e7a5fc56.jpg,Accessory
Birthday,Green,Bold and Bright,Birthday\Green\Bold and Bright\Accessories\410QAa3yZaL._AC_UY1100_.jpg,Accessory
Birthday,Green,Bold and Bright,Birthday\Green\Bold and Bright\Accessories\b1590c23bcc0494850e8093a8d5c9e92.jpg,Accessory
Birthday,Green,Bold and Bright,Birthday\Green\Bold and Bright\Accessories\png-transparent-sandal-shoe-high-heeled-footwear-green-leather-sandals-leather-fashion-outdoor-shoe.png,Accessory
Birthday,Green,Bold and Bright,Birthday\Green\Bold and Bright\Etsy-ethical-wedding-dress.png,Dress
Birthday,Green,Casual Comfort,Birthday\Green\Casual Comfort\Accessories\410QAa3yZaL._AC_UY1100_.jpg,Accessory
Birthday,Green,Casual Comfort,Birthday\Green\Casual Comfort\Accessories\b1590c23bcc0494850e8093a8d5c9e92.jpg,Accessory
Birthday,Green,Casual Comfort,Birthday\Green\Casual Comfort\Accessories\png-transparent-sandal-shoe-high-heeled-footwear-green-leather-sandals-leather-fashion-outdoor-shoe.png,Accessory
Birthday,Green,Casual Comfort,Birthday\Green\Casual Comfort\Etsy-ethical-wedding-dress.png,Dress
Birthday,Green,Eco-Friendly Fashionista,Birthday\Green\Eco-Friendly Fashionista\Accessories\410QAa3yZaL._AC_UY1100_.jpg,Accessory
Birthday,Green,Eco-Friendly Fashionista,Birthday\Green\Eco-Friendly Fashionista\Accessories\b1590c23bcc0494850e8093a8d5c9e92.jpg,Accessory
Birthday,Green,Eco-Friendly Fashionista,Birthday\Green\Eco-Friendly Fashionista\Accessories\png-transparent-sandal-shoe-high-heeled-footwear-green-leather-sandals-leather-fashion-outdoor-shoe.png,Accessory
Birthday,Green,Eco-Friendly Fashionista,Birthday\Green\Eco-Friendly Fashionista\Etsy-ethical-wedding-dress.png,Dress
Birthday,Green,Minimalist Maven,Birthday\Green\Minimalist Maven\Accessories\410QAa3yZaL._AC_UY1100_.jpg,Accessory
Birthday,Green,Minimalist Maven,Birthday\Green\Minimalist Maven\Accessories\b1590c23bcc0494850e8093a8d5c9e92.jpg,Accessory
Birthday,Green,Minimalist Maven,Birthday\Green\Minimalist Maven\Accessories\png-transparent-sandal-shoe-high-heeled-footwear-green-leather-sandals-leather-fashion-outdoor-shoe.png,Accessory
Birthday,Green,Minimalist Maven,Birthday\Green\Minimalist Maven\Etsy-ethical-wedding-dress.png,Dress
Birthday,Green,Retro Futurism,Birthday\Green\Retro Futurism\Accessories\410QAa3yZaL._AC_UY1100_.jpg,Accessory
Birthday,Green,Retro Futurism,Birthday\Green\Retro Futurism\Accessories\b1590c23bcc0494850e8093a8d5c9e92.jpg,Accessory
Birthday,Green,Retro Futurism,Birthday\Green\Retro Futurism\Accessories\png-transparent-sandal-shoe-high-heeled-footwear-green-leather-sandals-leather-fashion-outdoor-shoe.png,Accessory
Birthday,Green,Retro Futurism,Birthday\Green\Retro Futurism\Etsy-ethical-wedding-dress.png,Dress
Birthday,Green,Streetwear,Birthday\Green\Streetwear\Accessories\410QAa3yZaL._AC_UY1100_.jpg,Accessory
Birthday,Green,Streetwear,Birthday\Green\Streetwear\Accessories\b1590c23bcc0494850e8093a8d5c9e92.jpg,Accessory
Birthday,Green,Streetwear,Birthday\Green\Streetwear\Accessories\png-transparent-sandal-shoe-high-heeled-footwear-green-leather-sandals-leather-fashion-outdoor-shoe.png,Accessory
Birthday,Green,Streetwear,Birthday\Green\Streetwear\Etsy-ethical-wedding-dress.png,Dress
Birthday,Green,Vintage Vibes,Birthday\Green\Vintage Vibes\Accessories\410QAa3yZaL._AC_UY1100_.jpg,Accessory
Birthday,Green,Vintage Vibes,Birthday\Green\Vintage Vibes\Accessories\b1590c23bcc0494850e8093a8d5c9e92.jpg,Accessory
Birthday,Green,Vintage Vibes,Birthday\Green\Vintage Vibes\Accessories\png-transparent-sandal-shoe-high-heeled-footwear-green-leather-sandals-leather-fashion-outdoor-shoe.png,Accessory
Birthday,Green,Vintage Vibes,Birthday\Green\Vintage Vibes\Etsy-ethical-wedding-dress.png,Dress
Birthday,Orange,Bold and Bright,"Birthday\Orange\Bold and Bright\Accessories\41QKBnrPwkL._SR600,315_PIWhiteStrip,BottomLeft,0,35_SCLZZZZZZZ_FMpng_BG255,255,255.png",Accessory
Birthday,Orange,Bold and Bright,Birthday\Orange\Bold and Bright\Accessories\710XWpEzxML._AC_UY1000_.jpg,Accessory
Birthday,Orange,Bold and Bright,Birthday\Orange\Bold and Bright\Accessories\bagorange.jpg,Accessory
Birthday,Orange,Bold and Bright,Birthday\Orange\Bold and Bright\Accessories\pngtree-vintage-brown-sunglasses-png-image_4458110.png,Accessory
Birthday,Orange,Bold and Bright,Birthday\Orange\Bold and Bright\Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Dress
Birthday,Orange,Casual Comfort,"Birthday\Orange\Casual Comfort\Accessories\41QKBnrPwkL._SR600,315_PIWhiteStrip,BottomLeft,0,35_SCLZZZZZZZ_FMpng_BG255,255,255.png",Accessory
Birthday,Orange,Casual Comfort,Birthday\Orange\Casual Comfort\Accessories\710XWpEzxML._AC_UY1000_.jpg,Accessory
Birthday,Orange,Casual Comfort,Birthday\Orange\Casual Comfort\Accessories\bagorange.jpg,Accessory
Birthday,Orange,Casual Comfort,Birthday\Orange\Casual Comfort\Accessories\pngtree-vintage-brown-sunglasses-png-image_4458110.png,Accessory
Birthday,Orange,Casual Comfort,Birthday\Orange\Casual Comfort\Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Dress
Birthday,Orange,Eco-Friendly Fashionista,"Birthday\Orange\Eco-Friendly Fashionista\Accessories\41QKBnrPwkL._SR600,315_PIWhiteStrip,BottomLeft,0,35_SCLZZZZZZZ_FMpng_BG255,255,255.png",Accessory
Birthday,Orange,Eco-Friendly Fashionista,Birthday\Orange\Eco-Friendly Fashionista\Accessories\710XWpEzxML._AC_UY1000_.jpg,Accessory
Birthday,Orange,Eco-Friendly Fashionista,Birthday\Orange\Eco-Friendly Fashionista\Accessories\bagorange.jpg.jpg,Accessory
Birthday,Orange,Eco-Friendly Fashionista,Birthday\Orange\Eco-Friendly Fashionista\Accessories\pngtree-vintage-brown-sunglasses-png-image_4458110.png,Accessory
Birthday,Orange,Eco-Friendly Fashionista,Birthday\Orange\Eco-Friendly Fashionista\Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Dress
Birthday,Orange,Minimalist Maven,"Birthday\Orange\Minimalist Maven\Accessories\41QKBnrPwkL._SR600,315_PIWhiteStrip,BottomLeft,0,35_SCLZZZZZZZ_FMpng_BG255,255,255.png",Accessory
Birthday,Orange,Minimalist Maven,Birthday\Orange\Minimalist Maven\Accessories\710XWpEzxML._AC_UY1000_.jpg,Accessory
Birthday,Orange,Minimalist Maven,Birthday\Orange\Minimalist Maven\Accessories\bagorange.jpg.jpg,Accessory
Birthday,Orange,Minimalist Maven,Birthday\Orange\Minimalist Maven\Accessories\pngtree-vintage-brown-sunglasses-png-image_4458110.png,Accessory
Birthday,Orange,Minimalist Maven,Birthday\Orange\Minimalist Maven\Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Dress
Birthday,Orange,Retro Futurism,"Birthday\Orange\Retro Futurism\Accessories\41QKBnrPwkL._SR600,315_PIWhiteStrip,BottomLeft,0,35_SCLZZZZZZZ_FMpng_BG255,255,255.png",Accessory
Birthday,Orange,Retro Futurism,Birthday\Orange\Retro Futurism\Accessories\710XWpEzxML._AC_UY1000_.jpg,Accessory
Birthday,Orange,Retro Futurism,Birthday\Orange\Retro Futurism\Accessories\bagorange.jpg.jpg,Accessory
Birthday,Orange,Retro Futurism,Birthday\Orange\Retro Futurism\Accessories\pngtree-vintage-brown-sunglasses-png-image_4458110.png,Accessory
Birthday,Orange,Retro Futurism,Birthday\Orange\Retro Futurism\Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Dress
Birthday,Orange,Streetwear,"Birthday\Orange\Streetwear\Accessories\41QKBnrPwkL._SR600,315_PIWhiteStrip,BottomLeft,0,35_SCLZZZZZZZ_FMpng_BG255,255,255.png",Accessory
Birthday,Orange,Streetwear,Birthday\Orange\Streetwear\Accessories\710XWpEzxML._AC_UY1000_.jpg,Accessory
Birthday,Orange,Streetwear,Birthday\Orange\Streetwear\Accessories\bagorange.jpg.jpg,Accessory
Birthday,Orange,Streetwear,Birthday\Orange\Streetwear\Accessories\pngtree-vintage-brown-sunglasses-png-image_4458110.png,Accessory
Birthday,Orange,Streetwear,Birthday\Orange\Streetwear\Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Dress
Birthday,Orange,Vintage Vibes,"Birthday\Orange\Vintage Vibes\Accessories\41QKBnrPwkL._SR600,315_PIWhiteStrip,BottomLeft,0,35_SCLZZZZZZZ_FMpng_BG255,255,255.png",Accessory
Birthday,Orange,Vintage Vibes,Birthday\Orange\Vintage Vibes\Accessories\710XWpEzxML._AC_UY1000_.jpg,Accessory
Birthday,Orange,Vintage Vibes,Birthday\Orange\Vintage Vibes\Accessories\bagorange.jpg.jpg,Accessory
Birthday,Orange,Vintage Vibes,Birthday\Orange\Vintage Vibes\Accessories\pngtree-vintage-brown-sunglasses-png-image_4458110.png,Accessory
Birthday,Orange,Vintage Vibes,Birthday\Orange\Vintage Vibes\Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Dress
Birthday,Purple,Bold and Bright,Birthday\Purple\Bold and Bright\11.jpg,Dress
Birthday,Purple,Bold and Bright,Birthday\Purple\Bold and Bright\Accessories\656b1570f0645e5a551e8cc3-brilove-women-39-s-wedding-jewelry.jpg,Accessory
Birthday,Purple,Bold and Bright,Birthday\Purple\Bold and Bright\Accessories\png-transparent-handbag-wedding-dress-evening-gown-leather-handbags-purple-violet-fashion-thumbnail.png,Accessory
Birthday,Purple,Bold and Bright,Birthday\Purple\Bold and Bright\Accessories\purple-wedding-shoes-CBYFET.jpg,Accessory
Birthday,Purple,Casual Comfort,Birthday\Purple\Casual Comfort\11.jpg,Dress
Birthday,Purple,Casual Comfort,Birthday\Purple\Casual Comfort\Accessories\656b1570f0645e5a551e8cc3-brilove-women-39-s-wedding-jewelry.jpg,Accessory
Birthday,Purple,Casual Comfort,Birthday\Purple\Casual Comfort\Accessories\png-transparent-handbag-wedding-dress-evening-gown-leather-handbags-purple-violet-fashion-thumbnail.png,Accessory
Birthday,Purple,Casual Comfort,Birthday\Purple\Casual Comfort\Accessories\purple-wedding-shoes-CBYFET.jpg,Accessory
Birthday,Purple,Eco-Friendly Fashionista,Birthday\Purple\Eco-Friendly Fashionista\11.jpg,Dress
Birthday,Purple,Eco-Friendly Fashionista,Birthday\Purple\Eco-Friendly Fashionista\Accessories\656b1570f0645e5a551e8cc3-brilove-women-39-s-wedding-jewelry.jpg,Accessory
Birthday,Purple,Eco-Friendly Fashionista,Birthday\Purple\Eco-Friendly Fashionista\Accessories\png-transparent-handbag-wedding-dress-evening-gown-leather-handbags-purple-violet-fashion-thumbnail.png,Accessory
Birthday,Purple,Eco-Friendly Fashionista,Birthday\Purple\Eco-Friendly Fashionista\Accessories\purple-wedding-shoes-CBYFET.jpg,Accessory
Birthday,Purple,Minimalist Maven,Birthday\Purple\Minimalist Maven\11.jpg,Dress
Birthday,Purple,Minimalist Maven,Birthday\Purple\Minimalist Maven\Accessories\656b1570f0645e5a551e8cc3-brilove-women-39-s-wedding-jewelry.jpg,Accessory
Birthday,Purple,Minimalist Maven,Birthday\Purple\Minimalist Maven\Accessories\png-transparent-handbag-wedding-dress-evening-gown-leather-handbags-purple-violet-fashion-thumbnail.png,Accessory
Birthday,Purple,Minimalist Maven,Birthday\Purple\Minimalist Maven\Accessories\purple-wedding-shoes-CBYFET.jpg,Accessory
Birthday,Purple,Retro Futurism,Birthday\Purple\Retro Futurism\11.jpg,Dress
Birthday,Purple,Retro Futurism,Birthday\Purple\Retro Futurism\Accessories\656b1570f0645e5a551e8cc3-brilove-women-39-s-wedding-jewelry.jpg,Accessory
Birthday,Purple,Retro Futurism,Birthday\Purple\Retro Futurism\Accessories\png-transparent-handbag-wedding-dress-evening-gown-leather-handbags-purple-violet-fashion-thumbnail.png,Accessory
Birthday,Purple,Retro Futurism,Birthday\Purple\Retro Futurism\Accessories\purple-wedding-shoes-CBYFET.jpg,Accessory
Birthday,Purple,Streetwear,Birthday\Purple\Streetwear\11.jpg,Dress
Birthday,Purple,Streetwear,Birthday\Purple\Streetwear\Accessories\656b1570f0645e5a551e8cc3-brilove-women-39-s-wedding-jewelry.jpg,Accessory
Birthday,Purple,Streetwear,Birthday\Purple\Streetwear\Accessories\png-transparent-handbag-wedding-dress-evening-gown-leather-handbags-purple-violet-fashion-thumbnail.png,Accessory
Birthday,Purple,Streetwear,Birthday\Purple\Streetwear\Accessories\purple-wedding-shoes-CBYFET.jpg,Accessory
Birthday,Purple,Vintage Vibes,Birthday\Purple\Vintage Vibes\11.jpg,Dress
Birthday,Purple,Vintage Vibes,Birthday\Purple\Vintage Vibes\Accessories\656b1570f0645e5a551e8cc3-brilove-women-39-s-wedding-jewelry.jpg,Accessory
Birthday,Purple,Vintage Vibes,Birthday\Purple\Vintage Vibes\Accessories\png-transparent-handbag-wedding-dress-evening-gown-leather-handbags-purple-violet-fashion-thumbnail.png,Accessory
Birthday,Purple,Vintage Vibes,Birthday\Purple\Vintage Vibes\Accessories\purple-wedding-shoes-CBYFET.jpg,Accessory
Birthday,Red,Bold and Bright,Birthday\Red\Bold and Bright\23642544a04b8c36f98f7f07863407a2.jpg,Dress
Birthday,Red,Bold and Bright,Birthday\Red\Bold and Bright\e15e4cc654d7879a7c253f257be115e1.jpg,Dress
Birthday,Red,Bold and Bright,Birthday\Red\Bold and Bright\sustainable-summer-dresses.jpg,Dress
Birthday,Red,Casual Comfort,Birthday\Red\Casual Comfort\23642544a04b8c36f98f7f07863407a2.jpg,Dress
Birthday,Red,Casual Comfort,Birthday\Red\Casual Comfort\e15e4cc654d7879a7c253f257be115e1.jpg,Dress
Birthday,Red,Casual Comfort,Birthday\Red\Casual Comfort\sustainable-summer-dresses.jpg,Dress
Birthday,Red,Eco-Friendly Fashionista,Birthday\Red\Eco-Friendly Fashionista\23642544a04b8c36f98f7f07863407a2.jpg,Dress
Birthday,Red,Eco-Friendly Fashionista,Birthday\Red\Eco-Friendly Fashionista\e15e4cc654d7879a7c253f257be115e1.jpg,Dress
Birthday,Red,Eco-Friendly Fashionista,Birthday\Red\Eco-Friendly Fashionista\sustainable-summer-dresses.jpg,Dress
Birthday,Red,Minimalist Maven,Birthday\Red\Minimalist Maven\23642544a04b8c36f98f7f07863407a2.jpg,Dress
Birthday,Red,Minimalist Maven,Birthday\Red\Minimalist Maven\e15e4cc654d7879a7c253f257be115e1.jpg,Dress
Birthday,Red,Minimalist Maven,Birthday\Red\Minimalist Maven\sustainable-summer-dresses.jpg,Dress
Birthday,Red,Retro Futurism,Birthday\Red\Retro Futurism\23642544a04b8c36f98f7f07863407a2.jpg,Dress
Birthday,Red,Retro Futurism,Birthday\Red\Retro Futurism\e15e4cc654d7879a7c253f257be115e1.jpg,Dress
Birthday,Red,Retro Futurism,Birthday\Red\Retro Futurism\sustainable-summer-dresses.jpg,Dress
Birthday,Red,Streetwear,Birthday\Red\Streetwear\23642544a04b8c36f98f7f07863407a2.jpg,Dress
Birthday,Red,Streetwear,Birthday\Red\Streetwear\e15e4cc654d7879a7c253f257be115e1.jpg,Dress
Birthday,Red,Streetwear,Birthday\Red\Streetwear\sustainable-summer-dresses.jpg,Dress
Birthday,Red,Vintage Vibes,Birthday\Red\Vintage Vibes\23642544a04b8c36f98f7f07863407a2.jpg,Dress
Birthday,Red,Vintage Vibes,Birthday\Red\Vintage Vibes\e15e4cc654d7879a7c253f257be115e1.jpg,Dress
Birthday,Red,Vintage Vibes,Birthday\Red\Vintage Vibes\sustainable-summer-dresses.jpg,Dress
Birthday,Yellow,Bold and Bright,Birthday\Yellow\Bold and Bright\29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Dress
