Event,Color,Style,Dress_Path,Accessory_Path
Birthday,Blue,Bold and Bright,Birthday/Blue/Bold and Bright/Dress/123111-ruffle-blue-wedding-dress.jpeg,Birthday/Blue/Bold and Bright/Accessories/61+LanG8oRL._AC_UY1100_.jpg
Birthday,Blue,Bold and Bright,Birthday/Blue/Bold and Bright/Dress/123111-ruffle-blue-wedding-dress.jpeg,Birthday/Blue/Bold and Bright/Accessories/61Us78ljbvL.jpg
Birthday,Blue,Bold and Bright,Birthday/Blue/Bold and Bright/Dress/123111-ruffle-blue-wedding-dress.jpeg,Birthday/Blue/Bold and Bright/Accessories/a29f5c111b4018cfe509c3d5e7a5fc56.jpg
Birthday,Blue,Casual Comfort,Birthday/Blue/Casual Comfort/Dress/123111-ruffle-blue-wedding-dress.jpeg,Birthday/Blue/Casual Comfort/Accessories/61+LanG8oRL._AC_UY1100_.jpg
Birthday,Blue,Casual Comfort,Birthday/Blue/Casual Comfort/Dress/123111-ruffle-blue-wedding-dress.jpeg,Birthday/Blue/Casual Comfort/Accessories/61Us78ljbvL.jpg
Birthday,Blue,Casual Comfort,Birthday/Blue/Casual Comfort/Dress/123111-ruffle-blue-wedding-dress.jpeg,Birthday/Blue/Casual Comfort/Accessories/a29f5c111b4018cfe509c3d5e7a5fc56.jpg
Birthday,Blue,Eco-Friendly Fashionista,Birthday/Blue/Eco-Friendly Fashionista/Dress/123111-ruffle-blue-wedding-dress.jpeg,Birthday/Blue/Eco-Friendly Fashionista/Accessories/61+LanG8oRL._AC_UY1100_.jpg
Birthday,Blue,Eco-Friendly Fashionista,Birthday/Blue/Eco-Friendly Fashionista/Dress/123111-ruffle-blue-wedding-dress.jpeg,Birthday/Blue/Eco-Friendly Fashionista/Accessories/61Us78ljbvL.jpg
Birthday,Blue,Eco-Friendly Fashionista,Birthday/Blue/Eco-Friendly Fashionista/Dress/123111-ruffle-blue-wedding-dress.jpeg,Birthday/Blue/Eco-Friendly Fashionista/Accessories/a29f5c111b4018cfe509c3d5e7a5fc56.jpg
Birthday,Blue,Minimalist Maven,Birthday/Blue/Minimalist Maven/Dress/123111-ruffle-blue-wedding-dress.jpeg,Birthday/Blue/Minimalist Maven/Accessories/61+LanG8oRL._AC_UY1100_.jpg
Birthday,Blue,Minimalist Maven,Birthday/Blue/Minimalist Maven/Dress/123111-ruffle-blue-wedding-dress.jpeg,Birthday/Blue/Minimalist Maven/Accessories/61Us78ljbvL.jpg
Birthday,Blue,Minimalist Maven,Birthday/Blue/Minimalist Maven/Dress/123111-ruffle-blue-wedding-dress.jpeg,Birthday/Blue/Minimalist Maven/Accessories/a29f5c111b4018cfe509c3d5e7a5fc56.jpg
Birthday,Blue,Retro Futurism,Birthday/Blue/Retro Futurism/Dress/123111-ruffle-blue-wedding-dress.jpeg,Birthday/Blue/Retro Futurism/Accessories/61+LanG8oRL._AC_UY1100_.jpg
Birthday,Blue,Retro Futurism,Birthday/Blue/Retro Futurism/Dress/123111-ruffle-blue-wedding-dress.jpeg,Birthday/Blue/Retro Futurism/Accessories/61Us78ljbvL.jpg
Birthday,Blue,Retro Futurism,Birthday/Blue/Retro Futurism/Dress/123111-ruffle-blue-wedding-dress.jpeg,Birthday/Blue/Retro Futurism/Accessories/a29f5c111b4018cfe509c3d5e7a5fc56.jpg
Birthday,Blue,Streetwear,Birthday/Blue/Streetwear/Dress/123111-ruffle-blue-wedding-dress.jpeg,Birthday/Blue/Streetwear/Accessories/61+LanG8oRL._AC_UY1100_.jpg
Birthday,Blue,Streetwear,Birthday/Blue/Streetwear/Dress/123111-ruffle-blue-wedding-dress.jpeg,Birthday/Blue/Streetwear/Accessories/61Us78ljbvL.jpg
Birthday,Blue,Streetwear,Birthday/Blue/Streetwear/Dress/123111-ruffle-blue-wedding-dress.jpeg,Birthday/Blue/Streetwear/Accessories/a29f5c111b4018cfe509c3d5e7a5fc56.jpg
Birthday,Blue,Vintage Vibes,Birthday/Blue/Vintage Vibes/Dress/123111-ruffle-blue-wedding-dress.jpeg,Birthday/Blue/Vintage Vibes/Accessories/61+LanG8oRL._AC_UY1100_.jpg
Birthday,Blue,Vintage Vibes,Birthday/Blue/Vintage Vibes/Dress/123111-ruffle-blue-wedding-dress.jpeg,Birthday/Blue/Vintage Vibes/Accessories/61Us78ljbvL.jpg
Birthday,Blue,Vintage Vibes,Birthday/Blue/Vintage Vibes/Dress/123111-ruffle-blue-wedding-dress.jpeg,Birthday/Blue/Vintage Vibes/Accessories/a29f5c111b4018cfe509c3d5e7a5fc56.jpg
